id,activity_name,activity_type,materials_needed,time_required,age_group,difficulty_level,instructions
168,Kite Flying,Outdoor,"Kites, Open space",1.5 hours,All ages,Easy,"Fly kites in an open space, and enjoy the visual spectacle and fun of keeping the kite aloft."
169,Laser Engraving,Indoor,"Laser engraver, Materials",2 hours,Teens,Moderate,"Use a laser engraver to etch designs onto materials like wood or metal, and create customized items."
170,Live Theater Improv,Indoor,"Stage, Props",2 hours,Teens,Moderate,"Participate in or watch an improv theater performance with live actors and props, and enjoy spontaneous and creative acting."
171,Marine Biology Lab,Indoor,"Microscopes, Specimens",2 hours,Teens,Moderate,"Examine marine specimens under microscopes, learn about marine biology, and conduct experiments in a lab setting."
172,Model Train Set,Indoor,"Train set, Tracks",2 hours,School-aged,Moderate,"Assemble and operate a model train set, laying tracks and controlling trains to create miniature railways."
173,Nature Sketching,Outdoor,"Sketchbook, Pencils",1.5 hours,Teens,Easy,"Sketch natural scenes or wildlife in a sketchbook using pencils, focusing on capturing details and textures."
174,Origami Art Installation,Indoor,"Origami paper, Display materials",2 hours,Teens,Moderate,"Create and display large-scale origami art installations using multiple pieces of paper, and design intricate patterns."
175,Outdoor Movie Night,Outdoor,"Projector, Screen",2 hours,All ages,Easy,"Set up an outdoor movie screening with a projector and screen, and enjoy a film under the stars with seating and snacks."
176,Parkour Training,Outdoor,"Safety gear, Training space",2 hours,Teens,Challenging,"Practice parkour moves and techniques in a safe training environment, and work on agility and strength."
177,Pet Costume Parade,Outdoor,"Pet costumes, Parade route",1.5 hours,All ages,Easy,"Organize a parade for pets in costumes, walk along a designated route, and enjoy a fun and festive event."
178,Pottery Wheel Throwing,Indoor,"Pottery wheel, Clay",2 hours,Teens,Moderate,"Use a pottery wheel to shape and throw clay, and create pottery pieces like bowls or vases."
179,Quilting Workshop,Indoor,"Fabric, Sewing machine",2 hours,Teens,Moderate,"Learn to quilt by sewing fabric pieces together to create a quilted item, such as a blanket or cushion cover."
180,Rappelling Adventure,Outdoor,"Harness, Rappel device",2 hours,Teens,Challenging,"Use a harness and rappel device to descend rock faces or vertical surfaces, following safety procedures."
181,Sculpting with Wood,Indoor,"Wood blocks, Carving tools",2 hours,Teens,Moderate,"Carve sculptures from wood blocks using specialized tools, and create artistic or functional wooden pieces."
182,Stained Glass Art,Indoor,"Glass pieces, Lead came",2 hours,Teens,Moderate,"Create stained glass art by cutting glass pieces and assembling them with lead came, and finish with soldering."
183,Surfing Lesson,Outdoor,"Surfboard, Wetsuit",2 hours,Teens,Moderate,"Take a surfing lesson, learn basic techniques, and practice riding waves with the help of an instructor and appropriate gear."
184,Virtual Reality Gaming,Indoor,"VR headset, Gaming console",2 hours,Teens,Moderate,"Play immersive games using a VR headset and gaming console, and explore virtual worlds and interactive experiences."
185,Wildlife Photography,Outdoor,"Camera, Telephoto lens",2 hours,Teens,Moderate,"Photograph wildlife using a camera with a telephoto lens, and capture images of animals in their natural habitat."
186,Wine Tasting Event,Indoor,"Wine samples, Tasting notes",1.5 hours,Teens,Easy,"Sample a selection of wines, use tasting notes to describe the flavors, and learn about different wine varieties."
187,Wood Carving,Indoor,"Wood blocks, Carving tools",2 hours,Teens,Moderate,"Carve detailed designs into wood blocks using carving tools, and create intricate wooden sculptures or ornaments."
188,Worm Composting,Indoor,"Compost bin, Worms",1.5 hours,Teens,Easy,"Set up a compost bin with worms to recycle kitchen scraps into nutrient-rich compost, and learn about composting benefits."
189,Adventure Obstacle Course,Outdoor,"Obstacle course setup, Safety gear",2 hours,Teens,Challenging,"Navigate through an obstacle course with various challenges, using safety gear and working on physical endurance."
190,Airplane Model Building,Indoor,"Model kit, Glue, Paint",2 hours,Teens,Moderate,"Assemble and paint an airplane model kit, following instructions for accurate details and design."
191,Aquatic Life Study,Outdoor,"Field guide, Notebook, Binoculars",2 hours,Teens,Moderate,"Study aquatic life using a field guide and binoculars, and record observations of different water organisms."
192,Astronaut Training Simulation,Indoor,"Simulation equipment, VR headset",2 hours,Teens,Challenging,"Experience astronaut training through simulation equipment and a VR headset, focusing on space missions and activities."
193,Beach Clean-Up,Outdoor,"Trash bags, Gloves",2 hours,All ages,Easy,"Participate in cleaning up a beach by collecting trash and debris, and contribute to environmental conservation."
194,Birdhouse Building,Outdoor,"Wood, Tools, Paint",2 hours,School-aged,Moderate,"Build and paint a birdhouse using wood and tools, and place it in a suitable location to attract birds."
195,Botany Exploration,Outdoor,"Plant samples, Notebook, Magnifying glass",2 hours,Teens,Moderate,"Explore different plant species using samples, a notebook, and a magnifying glass, and learn about plant biology."
196,Campfire Cooking,Outdoor,"Campfire setup, Cooking utensils",2 hours,All ages,Easy,"Cook meals over a campfire using appropriate utensils, and enjoy a meal in a natural outdoor setting."
197,Cardboard Boat Race,Outdoor,"Cardboard, Tape, Markers",1.5 hours,School-aged,Moderate,"Design and build boats from cardboard, then race them on a watercourse, and see whose boat performs best."
198,Ceramic Tile Mosaics,Indoor,"Ceramic tiles, Grout, Adhesive",2 hours,Teens,Moderate,"Create mosaic art using ceramic tiles, grout, and adhesive, and design patterns or images on a tile surface."
199,Chess Tournament,Indoor,"Chess sets, Timer",2 hours,Teens,Moderate,"Participate in a chess tournament with sets and a timer, and compete in matches to test strategic skills."
200,Chocolate Tasting Tour,Indoor,"Chocolate samples, Tasting notes",1.5 hours,Teens,Easy,"Sample various types of chocolate, use tasting notes to describe flavors, and enjoy a tour of different chocolate types."
201,City Scavenger Hunt,Outdoor,"Clues, Map, Notebook",2 hours,Teens,Moderate,"Solve clues and complete challenges throughout a city using a map and notebook, and discover hidden locations."
202,Clay Pottery,Indoor,"Clay, Pottery tools",2 hours,Teens,Moderate,"Create pottery pieces from clay using pottery tools, and learn shaping and molding techniques."
203,Dance Choreography Workshop,Indoor,"Music, Dance floor",2 hours,Teens,Moderate,"Learn and practice new dance choreography in a workshop, and perform routines with others."
204,Elderly Care Volunteer,Indoor,"Activity materials, Volunteer kit",2 hours,All ages,Easy,"Engage in activities with elderly individuals, providing companionship and support, and use materials from a volunteer kit."
205,Folk Music Jam,Indoor,"Folk instruments, Music sheets",2 hours,Teens,Moderate,"Play folk music with various instruments and music sheets, and enjoy a collaborative jam session."
206,Fruit Picking,Outdoor,"Harvest baskets, Gloves",2 hours,All ages,Easy,"Pick fruits from trees or plants using harvest baskets and gloves, and enjoy the process of collecting fresh produce."
207,Geocaching Adventure,Outdoor,"GPS device, Geocache containers",2 hours,Teens,Moderate,"Search for hidden geocaches using a GPS device, and enjoy the adventure of locating containers in various locations."
208,Glass Staining Workshop,Indoor,"Glass panes, Stain, Brushes",2 hours,Teens,Moderate,"Create stained glass designs using glass panes, stain, and brushes, and make decorative glass items."
209,Graffiti Art,Outdoor,"Spray paint, Stencils",2 hours,Teens,Moderate,"Use spray paint and stencils to create graffiti art on designated walls or surfaces, and explore street art techniques."
210,Herbal Medicine Workshop,Indoor,"Herbs, Preparation tools",2 hours,Teens,Moderate,"Learn to prepare herbal remedies using various herbs and tools, and understand their medicinal properties."
211,Historical Reenactment,Outdoor,"Costumes, Props",2 hours,Teens,Moderate,"Participate in a historical reenactment with costumes and props, and bring historical events to life through acting."
212,Indoor Climbing Wall,Indoor,"Climbing harness, Chalk",2 hours,Teens,Challenging,"Climb on an indoor climbing wall using a harness and chalk, and challenge yourself with different climbing routes."
213,Interactive Science Museum,Indoor,"Museum tickets, Science exhibits",2 hours,All ages,Easy,"Explore interactive exhibits at a science museum, and engage with hands-on activities and educational displays."
214,Jewelry Repair Clinic,Indoor,"Jewelry tools, Repair kit",1.5 hours,Teens,Moderate,"Learn to repair and restore jewelry using tools and a repair kit, and fix damaged pieces."
215,Jungle Safari Simulation,Indoor,"VR headset, Simulation software",2 hours,Teens,Moderate,"Experience a jungle safari using a VR headset and simulation software, and explore virtual wildlife and landscapes."
216,Kite Making Workshop,Indoor,"Kite materials, Glue",1.5 hours,School-aged,Easy,"Create and decorate kites using materials and glue, and prepare them for flying on a windy day."
217,Lego Building Challenge,Indoor,Lego sets,1.5 hours,School-aged,Moderate,"Build structures or models using Lego sets, and participate in a challenge to create the most impressive design."
218,Marine Conservation Project,Outdoor,"Conservation tools, Research materials",2 hours,Teens,Moderate,"Participate in a marine conservation project, using tools and research materials to protect and study marine ecosystems."
219,Miniature Garden Creation,Indoor,"Plants, Soil, Pots",1.5 hours,Teens,Moderate,"Create a miniature garden in small pots using plants, soil, and decorative items, and design a small-scale garden."
220,Model Rocket Launch,Outdoor,"Rocket kit, Launch pad",2 hours,Teens,Moderate,"Assemble and launch model rockets using a kit and launch pad, and observe the flight and recovery of the rockets."
221,Nature Photography Workshop,Outdoor,"Camera, Tripod",2 hours,Teens,Moderate,"Attend a workshop on nature photography, use a camera and tripod to capture stunning outdoor scenes and wildlife."
222,Puppet Making,Indoor,"Fabric, Puppets kits",1.5 hours,School-aged,Moderate,"Create and decorate puppets using fabric and kits, and use them for puppet shows and storytelling."
223,Quilling Art,Indoor,"Quilling paper, Tools",1.5 hours,Teens,Moderate,"Create intricate designs and artworks using quilling paper and tools, and explore the art of paper quilling."
224,Rock Balancing,Outdoor,"Rocks, Stability guide",1.5 hours,Teens,Easy,"Balance and stack rocks to create sculptures, using a stability guide to explore techniques and create artistic arrangements."
225,Sandcastle Building,Outdoor,"Buckets, Shovels",1.5 hours,All ages,Easy,"Build elaborate sandcastles on the beach using buckets and shovels, and enjoy creative sand sculpting."
226,Scenic Train Ride,Outdoor,"Train tickets, Scenic route",2 hours,All ages,Easy,"Enjoy a scenic train ride through picturesque landscapes, and relax while observing the views from the train."
227,Science Experiment Lab,Indoor,"Lab equipment, Experiment kits",2 hours,Teens,Moderate,"Conduct various science experiments using lab equipment and kits, and learn about scientific principles and results."
228,Seasonal Craft Fair,Indoor,"Craft materials, Display tables",2 hours,All ages,Easy,"Participate in a craft fair with various seasonal crafts, and explore and purchase handmade items from local artisans."
229,Skiing Lesson,Outdoor,"Ski gear, Instructor",2 hours,Teens,Moderate,"Take a skiing lesson with proper gear and an instructor, and learn basic skiing techniques and safety practices."
230,Soap Making Workshop,Indoor,"Soap base, Molds, Fragrances",2 hours,Teens,Moderate,"Make custom soaps using a base, molds, and fragrances, and learn about the soap-making process and techniques."
231,Space Exploration Simulation,Indoor,"VR headset, Space software",2 hours,Teens,Moderate,"Experience space exploration through simulation software and a VR headset, and explore virtual space missions."
232,Stargazing Event,Outdoor,"Telescopes, Star charts",2 hours,All ages,Easy,"Use telescopes and star charts to observe celestial objects, and enjoy a guided stargazing session."
233,Storytelling Workshop,Indoor,"Story prompts, Paper, Pens",2 hours,School-aged,Moderate,"Attend a workshop on storytelling using prompts and paper, and practice creating engaging stories and narratives."
234,Sustainable Living Seminar,Indoor,"Seminar materials, Sustainable products",2 hours,Teens,Moderate,"Learn about sustainable living practices through a seminar, and explore products and techniques for eco-friendly living."
235,Tennis Clinic,Outdoor,"Tennis rackets, Balls",2 hours,Teens,Moderate,"Participate in a tennis clinic with rackets and balls, and practice skills and techniques with instruction and drills."
236,Theater Workshop,Indoor,"Costumes, Scripts",2 hours,Teens,Moderate,"Participate in a theater workshop, rehearsing scenes with costumes and scripts, and learn about acting and stage performance."
237,Virtual Reality Escape Room,Indoor,"VR headset, Escape room software",2 hours,Teens,Moderate,"Solve puzzles and complete challenges in a virtual escape room using a VR headset and software, and work with a team to escape."
238,Woodworking Project,Indoor,"Wood, Tools",2 hours,Teens,Moderate,"Complete a woodworking project using wood and tools, and create functional or decorative wooden items."
239,Wreath Making,Indoor,"Wreath base, Decorative materials",1.5 hours,Teens,Moderate,"Create decorative wreaths using bases and various materials, and design seasonal or themed wreaths for display."
240,Zoology Field Trip,Outdoor,"Field guide, Binoculars",2 hours,Teens,Moderate,"Explore animal behavior and habitats on a field trip with a field guide and binoculars, and learn about zoological research."
